locationCode,locationName,propertyCode,lat,lon,depth
ANT,Antarctic,"conductivity,seawatertemperature,salinity,oxygen",,,
AS04,AS04 Mooring,"conductivity,seawatertemperature,salinity,oxygen",48.300725,-123.391142,113.25
BACAX,Barkley Canyon Axis,"conductivity,seawatertemperature,salinity,oxygen",48.316602,-126.050652,983
BACCC.A1,ADCP 2 MHz East,"seawatertemperature",48.309823,-126.062125,824
BACCC.A2,ADCP 2 MHz West,"seawatertemperature",48.310365,-126.06225,807
BACCH,Barkley Canyon Head,"conductivity,seawatertemperature,salinity,oxygen",48.333206,-125.875577,399
BACHY,Barkley Canyon Hydrates,"conductivity,seawatertemperature,salinity,oxygen",48.312076,-126.06584,871
BACME,Barkley Canyon Mid-East,"conductivity,seawatertemperature,salinity,oxygen",48.314879,-126.058268,895.658333
BACMW,Barkley Canyon Mid-West,"seawatertemperature",48.315074,-126.058819,891.153846
BACND,Barkley Node,"conductivity,seawatertemperature,salinity,oxygen",48.345617,-126.157755,643.25
BACSG.AT1,DQZ Fetch 1,"seawatertemperature",48.430932,-126.176437,407
BACSG.AT2,DQZ Fetch 2,"seawatertemperature",48.427136,-126.168952,397
BACSG.AT3,AZA Fetch,"seawatertemperature",48.424775,-126.17767,407
BACUS,Upper Slope South,"seawatertemperature",48.42694,-126.174698,394.544444
BACVP,Upper Slope Vertical Profiler,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen,ph",48.427486,-126.174127,24.228333
BACVP.O1,Oxygen - Aanderaa,"seawatertemperature,oxygen",48.427452,-126.174123,23.907143
BACVP.O2,Oxygen - SBE 63,"seawatertemperature,oxygen",48.427548,-126.174115,21.98
BACVP.O3,Oxygen - SBE 43,"oxygen",48.42751,-126.17416,35.47
BACWL,Wally Land,"conductivity,seawatertemperature,salinity",48.311853,-126.065605,862.818182
BACWL.M1,Methane A,"seawatertemperature",48.31185,-126.065607,863.428571
BACWL.M2,Methane B,"seawatertemperature",48.311747,-126.065278,860.5
BDYPM,Boundary Pass Mooring,"conductivity,seawatertemperature,salinity,oxygen",48.766132,-123.039549,222.684211
BFBR,FORCE Underwater Network - Black Rock,"conductivity,seawatertemperature,salinity,oxygen",45.367205,-64.408957,25
BFIP,FORCE Underwater Network - Shoreline,"conductivity,seawatertemperature,salinity,oxygen",45.369535,-64.404895,2.25
BIIP,Burrard Inlet Underwater Network,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen,ph",49.300986,-123.111045,28.416667
BSM.A1,5mbss Secondary Oxygen,"seawatertemperature,oxygen",49.486885,-124.769333,5.52
BSM.D1,5mbss Burst Mode Test,"co2partialpressure",49.486885,-124.769333,5
BSM.J1,5mbss,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen",49.486885,-124.769333,4.78
BSM.J2,20mbss,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen",49.486885,-124.769333,20.166667
BSM.J3,40mbss,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen,ph",49.486885,-124.769333,41.15
BSM.J5,2mbss,"seawatertemperature",49.486885,-124.769333,2
BSVPP,Profiling Instrument Package,"co2partialpressure,conductivity,seawatertemperature,salinity,oxygen,ph",49.486885,-124.769333,34.49
CBB,Cape Bonavista Buoy,"seawatertemperature",48.693835,-53.028033,0
CBC27,ODP 1027C,"seawatertemperature",47.75645,-127.731117,2656
CBYDS,Diver Data,"seawatertemperature",69.117115,-105.04964,0
CBYIP,Cambridge Bay Underwater Network,"conductivity,seawatertemperature,salinity,oxygen,ph",69.113184,-105.063451,8.076923
CBYIP.D1,CO2 - Pro-Oceanus,"co2partialpressure",69.112989,-105.064215,8.7
CBYIP.D2,CO2 - Aanderaa,"co2partialpressure,seawatertemperature",69.113117,-105.064083,9
CBYIP.D3,CO2 - Pro-Oceanus Secondary Device,"co2partialpressure",69.113183,-105.0644,8
CBYIP.D4,Secondary CTD,"conductivity,seawatertemperature,salinity,oxygen",69.113017,-105.064391,9
CCIP,China Creek Underwater Network,"conductivity,seawatertemperature,salinity,oxygen",49.153864,-124.802447,110
CDFE,Clayoquot Deformation Front East,"seawatertemperature",48.618449,-127.038083,1748.666667
CDFM,Clayoquot Deformation Front Middle,"seawatertemperature",48.599137,-127.079439,2502
CDFW,Clayoquot Deformation Front West,"seawatertemperature",48.570747,-127.137591,2559
CNE12,North East 12.5km,"seawatertemperature",47.803145,-127.607863,2644.7
CNE20,North East 20km,"seawatertemperature",47.906259,-127.620651,2642
CNE25,North East 25km,"seawatertemperature",47.951543,-127.57699,2630
CNW12,North West 12.5km,"seawatertemperature",47.830658,-127.88686,2623.5
CQS64,ODP 1364A,"seawatertemperature",48.699937,-126.872152,1329
CRIP,Campbell River Underwater Network,"conductivity,seawatertemperature,salinity,oxygen",50.020725,-125.235333,9
CRIP.C1,CTD AML,"conductivity,seawatertemperature,salinity",50.020764,-125.235373,8.3
CRIP.C2,CTD Sea-Bird ,"conductivity,seawatertemperature,salinity",50.020767,-125.235367,8.5
CRIP.O1,Oxygen Aanderaa ,"seawatertemperature,oxygen",50.020767,-125.235358,8.85
CRIP.O2,Oxygen Sea-Bird,"seawatertemperature,oxygen",50.020767,-125.235367,8.5
CRV6,Patrol 6,"conductivity,seawatertemperature,salinity",49.941922,-125.174456,81.71146
CS12,South 12.5km,"seawatertemperature",47.651757,-127.781963,2668
CSBF,Cascadia Seaweed Burrough Point Farm,"conductivity,seawatertemperature,salinity,oxygen",48.974733,-124.99635,6
